pipe_nr,run,veg,cut,wet,treatment,beriget,aboveground_weight_tot_g,weight_sorted_excl_bag_g,equ_weight,graminoid_weight,bryophyte_weight,lichen_weight,stem_weight,leaves_weight,tt,pipe_diameter
9,1,B,U,W,BUW,FALSE,9.25,3.78,0.02,1.15,7.15,0,0.03,0.01,B,17
10,1,B,C,W,BCW,FALSE,5.57,1.39,0.05,10.24,5.84,0,0.03,0.05,C,17
11,1,B,U,D,BUD,FALSE,1.51,2.06,5.05,5.05,6.16,0,0,0,H,17
12,1,B,C,D,BCD,FALSE,6.61,1.65,0.02,61.06,6.17,0,0,0,D,17
13,1,S,U,W,SUW,FALSE,7.18,3.41,0.07,6.33,7.66,0.01,0.27,0.43,E,17
14,1,S,C,W,SCW,FALSE,16.36,4.09,0.06,5.22,6.91,0.01,0.4,0.19,A,17
15,1,S,U,D,SUD,FALSE,14.8,4.87,0.01,5.22,7.2,0.31,0.44,0.33,G,17
16,1,S,C,D,SCD,FALSE,14.71,3.68,0.03,5.11,6.97,0.26,0.28,0.2,F,17
20,2,B,U,D,BUD,TRUE,5.28,1.32,0.04,5.09,5.84,0,0,0,A,17
19,2,B,C,D,BCD,FALSE,3.74,0.94,0.01,10.27,5.81,0,0,0,B,17
17,2,B,C,W,BCW,FALSE,3.76,0.94,0.02,14.39,5.77,0,0.01,0,C,17
22,2,S,C,D,SCD,FALSE,8.42,2.11,0.07,10.26,6.11,0.04,0.2,0.23,D,17
21,2,S,C,W,SCW,FALSE,11.2,2.81,0.05,5.01,6.46,0.05,0.21,0.27,E,17
24,2,S,U,D,SUD,TRUE,17.62,4.41,0.02,5.08,6.38,0.07,0.33,0.21,F,17
18,2,B,U,W,BUW,TRUE,5.41,1.35,0.04,1.15,6,0,0.02,0,G,17
23,2,S,U,W,SUW,TRUE,8.34,2.21,0.03,5.02,6.25,0,0.3,0.2,H,17
25,3,B,C,D,BCD,FALSE,2.82,7.85,0.16,41.74,6.96,0,0,0,A,17
26,3,B,U,D,BUD,TRUE,4.27,1.07,0.02,5.1,5.78,0,0,0,C,17
27,3,B,C,W,BCW,FALSE,5.66,10.8,0.04,5.52,9.35,0.01,0.08,0.06,B,17
28,3,B,U,W,BUW,TRUE,2.42,2.42,0.08,5.3,6.24,0,0.03,0.05,G,17
29,3,S,U,W,SUW,TRUE,10.98,2.75,0.05,5.06,6.74,0,0.15,0.11,D,17
30,3,S,U,D,SUD,TRUE,13.18,3.35,0.05,5.08,6.94,0.05,0.5,0.35,F,17
31,3,S,C,W,SCW,FALSE,10.85,2.71,0.02,42.13,43.26,0.06,0.23,0.33,H,17
32,3,S,C,D,SCD,FALSE,13.82,3.45,0.02,5.2,6.44,0.04,0.2,0.15,E,17
33,4,B,U,W,BUW,TRUE,10.08,2.52,0.01,1.14,8.39,0,0.01,0,E,16.3
34,4,B,U,D,BUD,TRUE,11.88,2.97,0.05,1.21,8.45,0,0,0,G,16.3
35,4,B,C,W,BCW,FALSE,5.4,1.35,0.01,5.07,6.23,0,0.01,0,A,16.3
36,4,B,C,D,BCD,FALSE,2.98,0.75,0.05,10.26,5.5,0,0.01,0.02,C,16.3
37,4,S,U,W,SUW,TRUE,11,2.75,0.07,1.15,7.96,0.03,0.25,0.17,F,16.3
38,4,S,C,D,SCD,FALSE,7.28,1.82,0.02,5.03,5.59,0.05,0.23,0.28,H,16.3
39,4,S,U,D,SUD,TRUE,8.69,2.17,0.01,1.14,6.44,0.01,0.11,0.11,D,16.3
40,4,S,C,W,SCW,FALSE,8.21,2.05,0.05,5.12,5.88,0,0.15,0.16,B,16.3
41,5,B,U,D,BUD,TRUE,11.03,2.67,0,1.13,7.43,0.01,0.07,0.02,D,16.3
42,5,B,U,W,BUW,TRUE,12.39,3.1,0.01,0,7.45,0,0.05,0,H,16.3
43,5,B,C,W,BCW,FALSE,3.52,8.68,0.05,5.54,8.4,0,0.02,0.02,F,16.3
44,5,B,C,D,BCD,FALSE,6.14,11.23,0,5.43,10.23,0,0.02,0.02,E,16.3
45,5,S,U,W,SUW,TRUE,15.16,3.79,0.01,1.13,6.81,0.16,0.58,0.12,A,16.3
46,5,S,C,W,SCW,FALSE,9.07,14.08,0.02,10.31,6.51,0.15,0.66,1.15,C,16.3
47,5,S,C,D,SCD,FALSE,11.83,17.21,0.12,5.61,10.34,0.4,0.73,1.07,G,16.3
48,5,S,U,D,SUD,TRUE,17.11,4.28,0.04,1.13,7.96,0.51,0.46,0.26,B,16.3
49,6,B,U,D,BUD,TRUE,7.41,1.85,0.03,1.15,8.12,0,0,0,B,17
50,6,B,C,W,BCW,FALSE,7.52,1.88,0.03,5.06,6.73,0,0.01,0,E,17
51,6,B,U,W,BUW,TRUE,7.34,1.84,0,1.13,6.91,0,0,0,F,17
52,6,B,C,D,BCD,FALSE,6.47,1.62,0,5.07,6.46,0,0.01,0,H,17
53,6,S,C,D,SCD,FALSE,13.94,3.49,0.04,5.17,6.05,0.03,0.12,0.21,A,17
54,6,S,C,W,SCW,FALSE,11.8,2.95,0.05,5.09,6.67,0.21,0.23,0.16,D,17
55,6,S,U,D,SUD,TRUE,13.88,3.47,0.01,1.16,6.75,0.02,0.22,0.07,C,17
56,6,S,U,W,SUW,TRUE,NA,NA,0.03,1.12,7.7,0,0.57,0.42,G,17
