pipe.nr,run,veg,cut,wet,treatment,beriget,aboveground_weight_tot_g,weight_sorted_excl_bag_g,equ_weight,graminoid_weight,bryophyte_weight,lichen_weight,stem_weight,leaves_weight,vascular_weight_g
9,1,B,U,W,BUW,FALSE,9.25,3.78,0.02,1.15,7.15,0,0.03,0.01,0.04
10,1,B,C,W,BCW,FALSE,5.57,1.39,0.05,10.24,5.84,0,0.03,0.05,10.35
11,1,B,U,D,BUD,FALSE,1.5100000000000007,2.06,5.05,5.05,6.16,0,0,0,5.05
12,1,B,C,D,BCD,FALSE,6.61,1.65,0.02,61.06,6.17,0,0,0,14.53
13,1,S,U,W,SUW,FALSE,7.18,3.41,0.07,6.33,7.66,0.01,0.27,0.43,10.72
14,1,S,C,W,SCW,FALSE,16.36,4.09,0.06,5.22,6.91,0.01,0.4,0.19,10.87
15,1,S,U,D,SUD,FALSE,14.8,4.87,0.01,5.22,7.2,0.31,0.44,0.33,0.79
16,1,S,C,D,SCD,FALSE,14.71,3.68,0.03,5.11,6.97,0.26,0.28,0.2,14.9
20,2,B,U,D,BUD,TRUE,5.279999999999999,1.32,0.04,5.09,5.84,0,0,0,4.38
19,2,B,C,D,BCD,FALSE,3.7399999999999993,0.94,0.01,10.27,5.81,0,0,0,10.23
17,2,B,C,W,BCW,FALSE,3.759999999999999,0.94,0.02,14.39,5.77,0,0.01,0,14.4
22,2,S,C,D,SCD,FALSE,8.42,2.11,0.07,10.26,6.11,0.04,0.2,0.23,10.74
21,2,S,C,W,SCW,FALSE,11.2,2.81,0.05,5.01,6.46,0.05,0.21,0.27,10.77
24,2,S,U,D,SUD,TRUE,17.62,4.41,0.02,5.08,6.38,0.07,0.33,0.21,4.88
18,2,B,U,W,BUW,TRUE,5.41,1.35,0.04,1.15,6,0,0.02,0,0.06
23,2,S,U,W,SUW,TRUE,8.34,2.21,0.03,5.02,6.25,0,0.3,0.2,0.53
25,3,B,C,D,BCD,FALSE,2.8199999999999994,7.85,0.16,41.74,6.96,0,0,0,5.55
26,3,B,U,D,BUD,TRUE,4.2700000000000005,1.07,0.02,5.1,5.78,0,0,0,0.02
27,3,B,C,W,BCW,FALSE,5.660000000000001,10.8,0.04,5.52,9.35,0.01,0.08,0.06,10.4
28,3,B,U,W,BUW,TRUE,2.42,2.42,0.08,5.3,6.24,0,0.03,0.05,10.32
29,3,S,U,W,SUW,TRUE,10.98,2.75,0.05,5.06,6.74,0,0.15,0.11,10.42
30,3,S,U,D,SUD,TRUE,13.18,3.35,0.05,5.08,6.94,0.05,0.5,0.35,0.9
31,3,S,C,W,SCW,FALSE,10.850000000000001,2.71,0.02,42.13,43.26,0.06,0.23,0.33,42.71
32,3,S,C,D,SCD,FALSE,13.819999999999999,3.45,0.02,5.2,6.44,0.04,0.2,0.15,10.68
33,4,B,U,W,BUW,TRUE,10.079999999999998,2.52,0.01,1.14,8.39,0,0.01,0,0.03
34,4,B,U,D,BUD,TRUE,11.879999999999999,2.97,0.05,1.21,8.45,0,0,0,0.29
35,4,B,C,W,BCW,FALSE,5.4,1.35,0.01,5.07,6.23,0,0.01,0,14.39
36,4,B,C,D,BCD,FALSE,2.9799999999999995,0.75,0.05,10.26,5.5,0,0.01,0.02,10.26
37,4,S,U,W,SUW,TRUE,11,2.75,0.07,1.15,7.96,0.03,0.25,0.17,10.6
38,4,S,C,D,SCD,FALSE,7.279999999999999,1.82,0.02,5.03,5.59,0.05,0.23,0.28,14.91
39,4,S,U,D,SUD,TRUE,8.690000000000001,2.17,0.01,1.14,6.44,0.01,0.11,0.11,10.3
40,4,S,C,W,SCW,FALSE,8.209999999999999,2.05,0.05,5.12,5.88,0,0.15,0.16,14.75
41,5,B,U,D,BUD,TRUE,11.030000000000001,2.67,0,1.13,7.43,0.01,0.07,0.02,0.1
42,5,B,U,W,BUW,TRUE,12.39,3.1,0.01,0,7.45,0,0.05,0,0.06
43,5,B,C,W,BCW,FALSE,3.5199999999999996,8.68,0.05,5.54,8.4,0,0.02,0.02,10.3
44,5,B,C,D,BCD,FALSE,6.140000000000001,11.23,0,5.43,10.23,0,0.02,0.02,42.07
45,5,S,U,W,SUW,TRUE,15.16,3.79,0.01,1.13,6.81,0.16,0.58,0.12,10.8
46,5,S,C,W,SCW,FALSE,9.07,14.08,0.02,10.31,6.51,0.15,0.66,1.15,7.22
47,5,S,C,D,SCD,FALSE,11.830000000000002,17.21,0.12,5.61,10.34,0.4,0.73,1.07,7.48
48,5,S,U,D,SUD,TRUE,17.11,4.28,0.04,1.13,7.96,0.51,0.46,0.26,10.81
49,6,B,U,D,BUD,TRUE,7.41,1.85,0.03,1.15,8.12,0,0,0,1.12
50,6,B,C,W,BCW,FALSE,7.5200000000000005,1.88,0.03,5.06,6.73,0,0.01,0,41.81
51,6,B,U,W,BUW,TRUE,7.339999999999999,1.84,0,1.13,6.91,0,0,0,0
52,6,B,C,D,BCD,FALSE,6.470000000000001,1.62,0,5.07,6.46,0,0.01,0,15.66
53,6,S,C,D,SCD,FALSE,13.939999999999998,3.49,0.04,5.17,6.05,0.03,0.12,0.21,16
54,6,S,C,W,SCW,FALSE,11.799999999999999,2.95,0.05,5.09,6.67,0.21,0.23,0.16,42.2
55,6,S,U,D,SUD,TRUE,13.879999999999999,3.47,0.01,1.16,6.75,0.02,0.22,0.07,0.3
56,6,S,U,W,SUW,TRUE,NA,NA,0.03,1.12,7.7,0,0.57,0.42,42.57
